author,comment,rate,date
fred 13,Arnaque gonfle tout les prix honteux,1,1518390000000
Malik Bedos,Attention !!! ne commander jamais sur vente privée après 2 mois d'attente de livraison pour des articles textiles on m'annonce que les articles ne sont pas disponibles ? Remboursement sous 30 jours. Bravo le concept!!,1,1518390000000
Julien Hollard,"Il n'est plus possible de voir les nouvelles ventes en premier, juste celles ""sélectionnées pour vous"" qui ne sont pas intéressantes",2,1519081200000
Stephane Roze,"Retire le bouton ""nouvelle vente"" est nul. Jai loupe des ventes intéressantes, le classement est bizarre et je n'ai pas besoin de recommandations",2,1518217200000
Sylvain Joumier,Comme beaucoup d'applications  les nouvelles versions  sont moins viens que les précédentes.  Pourquoi toujours faire compliquer,2,1517958000000
severine grandin,Lorsqu’on s'inscrit aux ventes à venir cela génère un favori dans les alertes marques en plus de ce qu’on a  déjà donc on se retrouve avec des tonnes de mails pollueurs.,2,1518217200000
Rodrigues Eddy,"Plusieurs produits commandés , ils ont arrivé abîmé et même parfois ne marche pas et aussi mauvais produits arrivé",2,1520118000000
Clément Wigy,Ils sont tellement à l'appat du gain désormais qu'on ce tape des pubs intempestives. Bravo 🖖,1,1518303600000
Cyril Lagache,Pourquoi changer maintenant c'est mal organisé et je n'ai pas besoin de vos recommandations,1,1518044400000
Alan Morin,"2 commandes jamais reçu mais par contre elles ont bien été débité de mon compte bancaire, demande de remboursement toujours en attente",1,1518390000000
Ed Per,Après filtrage la dispo ne correspond pas de plus sur le prix barré est celui proposé sur le net ailleurs.,1,1519686000000
Lorenzo Krzywanski,"Des délais plus que dépassé dans ce qui est prévu... Arf finalement on trouve aussi bien ailleurs... Amazon, par exemple !",1,1518822000000
laurent vigneron,Attention ne rembourse jamais...,1,1518303600000
Houda Harabi,Trop bien come application,4,1518217200000
,Assez satisfaite de cette application surtout que les frais de port quand c'est possible sont à 3.99 euros en point relais.  Le service client est juste génial. Et les commandes sont livrées dans les temps prévus si ce n'est plus tôt . Cordialement,4,1517439600000
anas,J ai acheté un S7 sans indiquer qui est reconditionné et j avais trop de pb avec S7 du coup j ai renvoyer au prs pour sav tel volé 20 jours pour remenvoyer  arnaque bien programmé,1,1517353200000
Khadija Maamar,J'ai installé l'application 2 fois  mais impossible d'y accéder .. Je comprends pas je reçois des offres sur ma boîte @  et en voulant y accéder sans cesse on écrit  '' mot OU adresse incorrecte '' Mais je ne comprends pas comment ce matin en cliquant sur votre @ j'y ai accédé et en l'espace de 20 mn  j'essaie de me reconnecter Ç repartie   Donc je vais désinstaller l'application .  Showroom privé ça n'arrive JAMAIS . Franchement je ne vous recommanderai pas,1,1518044400000
,Je reçois un mail au bout d'un mois pour me dire que je ne recevrai pas ma valise mais que je serai remboursé + un geste commercial. Au final le geste commercial est un bon d'achat correspondant à UNE PARTIE des frais de préparation déjà débités... donc j'ai payé pour un colis que je ne recevrai jamais. N'EST CE PAS LA DÉFINITION DU MOT ARNAQUE? A FUIR!!!,1,1517958000000
Melina pignatelli,Narouewelle idnouountseadeaditnous des mariuewelle,5,1517612400000
jean christophe garin,Je n'ai rien à dire,3,1517612400000
