author,title,comment,rate,vote,country,updated
gusizn,Plein le cul des voyage,C’est nul à quoi sa sert c’est vente privé de voyage gerble dentifrice,1,0,fr,2018-03-16T10:59:48-07:00
Jean Rhodia,Bon service client.,Bon service client.,2,0,fr,2018-03-15T04:23:56-07:00
Zelda75509,Des voleurs,"Des qu’il s’agit d’un retour, ces voleurs prennent 6,90eur sur le remboursement initial. C’est leur façon de se faire de l’argent. Je supprime l’appli bye-bye Vente privée! Première et dernière fois.",1,0,fr,2018-03-14T02:59:43-07:00
HFUYFLHBKL,Bof.,Toujours pas de support d’Apple pay. Les ventes ne sont pas affichées chronologiquement. Impossible de masquer les ventes de voyages qui polluent l’application.,2,0,fr,2018-03-13T23:48:09-07:00
Squal83210,Bof bof,Beug sans arrêt. Cette application n'est pas à la hauteur. Et SVP Enlevez nous ces animations ringardes au démarrage !!,1,0,fr,2018-03-10T00:21:56-07:00
Lrlpc,Je boycotte,Des bugs en série. Des erreurs sur les livraisons et des retours qui sont mal enregistrés. Ou quand le succès submerge les équipes (et le sens commercial).,1,0,fr,2018-03-08T00:47:11-07:00
cricri2285,Prélèvement mensonger,Il est dit dans votre site que lorsque l’on perdait l’enchère hors dans la même journée 4 prélèvements 3 de 59€ et 1 de 30€ pour aucun article. Soit je retrouve l’intégrité de ces sommes aujourd’hui soit je porte plainte pour publicité mensongère. Je fais ce matin opposition à ma CB et je vais remplir un document de rejet de vos prélèvements si aucune réponse de votre part aujourd’hui,1,0,fr,2018-03-07T03:49:00-07:00
"Siham,",Nul !,"Quand on a un problème, le service client est catastrophique !",1,0,fr,2018-03-06T10:00:52-07:00
Glamituff,Trop lent,Application beaucoup trop lente au lancement,1,0,fr,2018-03-05T23:31:45-07:00
klotkrot,Déçue de l’appli,"Appli ok pour le shopping mais des qu’on a un soucis ou qu’il y a un titre de réservation, il faut passer par un ordinateur dixit les conditions générales !!! Ce n’est pas normal ! Moi je n’ai pas d’ordinateur, je passe par mon iPhone! Du coup j’ai une commande de 50€ qui me passe sous le nez car je n’ai pas valider le titre de réservation que j’aurais pu trouvé dans la rubrique commande mais d’un ordinateur !!! Bien sûr il fallait lire les conditions générales de vente....",1,0,fr,2018-03-03T00:31:47-07:00
